Bhaktipāda Gosvāmī,7370,7370,7380,7390,7390,7400,7400,7410,7410,7420,7420,7430,7430,7440,7440,7450,7460,7500,7500,7500,7500,7510,7510
Hinduizmus | Leveles Zoltán spritiuális tanításai ,9340,9340,9350,9350,9350,9350,9370,9370,9410,9420,9430,9430,9440,9450,9460,9470,9470,9520,9520,9520,9530,9530,9540
A Tan Kapuja,8040,8180,8300,8360,8360,8400,8480,8560,8600,8650,8690,8710,8750,8770,8810,8820,8830,8930,8930,8940,8960,8970,8980
Cser Zoltán,12300,12300,12500,12500,12500,12600,12600,12700,12700,12800,12800,12800,12800,12900,12900,12900,12900,13000,13000,13000,13100,13100,13100
Chong An Sunim,22500,22600,22700,22700,22700,22700,22800,22800,22900,22900,22900,22900,23000,23000,23000,23000,23100,23200,23200,23200,23200,23200,23300
Papifrankó,25700,25700,25700,25800,25800,25800,25900,25900,25900,25900,26000,26000,26000,26000,26000,26000,26100,26200,26200,26200,26200,26200,26200
Misevlog Fábry Kornéllal,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800
Sivarama Swami,,,,,,,,,,,,,,,,,,1330,1330,1330,1330,1330,1340
Krisna.hu,,,,,,,,,,,,,,,,,,5020,5020,5020,5020,5020,5020
FFL,,,,,,,,,,,,,,,,,,311,311,311,311,311,312
Govinda Klub,,,,,,,,,,,,,,,,,,1440,1440,1440,1440,1440,1440
VedaTube,,,,,,,,,,,,,,,,,,1380,1380,1380,1380,1380,1380
Krisna-völgy,,,,,,,,,,,,,,,,,,6350,6350,6350,6350,6350,6360
Bhakti,,,,,,,,,,,,,,,,,,1120,1120,1120,1130,1130,1130
(T)edd magad szabaddá,,,,,,,,,,,,,,,,,,4230,4230,4230,4240,4240,4250
Nitai-bhavana d,,,,,,,,,,,,,,,,,,858,858,861,864,865,865
Caitanya d,,,,,,,,,,,,,,,,,,1640,1640,1640,1640,1640,1640
